交易编号,方向,K2/K1比例,入场时间,入场价格,出场时间,出场价格,持仓K线数,合约收益%,盈亏USDT,累计资金USDT,结果
1,做多,0.618,2025-01-02 23:00,3485.62,2025-01-03 06:15,3427.41,29,-100.20,-1.0020,-1.0020,止损
2,做多,0.637,2025-01-09 22:00,3241.40,2025-01-09 23:15,3267.33,5,48.00,0.4800,-0.5220,止盈
3,做空,0.584,2025-01-10 10:30,3243.93,2025-01-10 15:30,3298.10,20,-100.20,-1.0020,-1.5240,止损
4,做多,0.560,2025-01-10 23:15,3230.73,2025-01-10 23:30,3256.58,1,48.00,0.4800,-1.0440,止盈
5,做空,0.552,2025-01-10 23:45,3245.14,2025-01-11 01:45,3299.33,8,-100.20,-1.0020,-2.0460,止损
6,做多,0.628,2025-01-13 10:45,3255.96,2025-01-13 14:45,3201.59,16,-100.20,-1.0020,-3.0480,止损
7,做空,0.530,2025-01-13 22:45,3034.41,2025-01-14 00:45,3010.13,8,48.00,0.4800,-2.5680,止盈
8,做多,0.667,2025-01-14 01:45,3020.79,2025-01-14 04:30,3044.96,11,48.00,0.4800,-2.0880,止盈
9,做空,0.591,2025-01-15 04:30,3215.08,2025-01-15 19:15,3189.36,59,48.00,0.4800,-1.6080,止盈
10,做空,0.542,2025-01-20 00:30,3402.50,2025-01-20 04:45,3375.28,17,48.00,0.4800,-1.1280,止盈
11,做多,1.183,2025-01-20 06:30,3253.01,2025-01-20 06:45,3198.68,1,-100.20,-1.0020,-2.1300,止损
12,做多,0.537,2025-01-20 19:00,3342.90,2025-01-20 19:15,3369.64,1,48.00,0.4800,-1.6500,止盈
13,做空,0.561,2025-01-20 21:00,3312.55,2025-01-20 23:00,3367.87,8,-100.20,-1.0020,-2.6520,止损
14,做空,1.481,2025-01-21 00:15,3349.01,2025-01-21 01:00,3322.22,3,48.00,0.4800,-2.1720,止盈
15,做多,0.559,2025-01-21 09:30,3237.43,2025-01-21 10:00,3263.33,2,48.00,0.4800,-1.6920,止盈
16,做空,0.524,2025-01-22 00:15,3316.51,2025-01-22 15:30,3289.98,61,48.00,0.4800,-1.2120,止盈
17,做空,0.521,2025-01-23 00:30,3272.00,2025-01-23 02:45,3245.82,9,48.00,0.4800,-0.7320,止盈
18,做多,0.675,2025-01-23 18:45,3203.99,2025-01-23 21:30,3229.62,11,48.00,0.4800,-0.2520,止盈
19,做多,0.550,2025-01-24 05:00,3232.17,2025-01-24 06:00,3258.03,4,48.00,0.4800,0.2280,止盈
20,做空,0.540,2025-01-24 09:30,3309.40,2025-01-24 10:45,3282.92,5,48.00,0.4800,0.7080,止盈
21,做多,0.584,2025-01-27 07:30,3240.90,2025-01-27 10:00,3186.78,10,-100.20,-1.0020,-0.2940,止损
22,做多,0.542,2025-01-27 17:30,3070.11,2025-01-27 20:45,3094.67,13,48.00,0.4800,0.1860,止盈
23,做多,0.538,2025-01-27 21:30,3110.51,2025-01-27 22:45,3135.39,5,48.00,0.4800,0.6660,止盈
24,做空,1.328,2025-01-27 22:15,3103.86,2025-01-28 00:45,3079.03,10,48.00,0.4800,1.1460,止盈
25,做空,0.571,2025-02-01 00:00,3412.42,2025-02-01 01:30,3385.12,6,48.00,0.4800,1.6260,止盈
26,做多,0.505,2025-02-02 23:30,3074.11,2025-02-03 00:45,3022.77,5,-100.20,-1.0020,0.6240,止损
27,做空,0.536,2025-02-03 04:15,2969.37,2025-02-03 04:45,2945.62,2,48.00,0.4800,1.1040,止盈
28,做多,1.148,2025-02-03 07:00,2838.31,2025-02-03 07:15,2790.91,1,-100.20,-1.0020,0.1020,止损
29,做多,0.599,2025-02-03 13:00,2465.33,2025-02-03 13:15,2485.05,1,48.00,0.4800,0.5820,止盈
30,做空,0.514,2025-02-03 13:30,2477.82,2025-02-03 13:45,2519.20,1,-100.20,-1.0020,-0.4200,止损
31,做空,0.553,2025-02-03 14:30,2511.10,2025-02-03 15:15,2553.04,3,-100.20,-1.0020,-1.4220,止损
32,做多,0.630,2025-02-03 16:00,2600.00,2025-02-03 16:30,2556.58,2,-100.20,-1.0020,-2.4240,止损
33,做多,1.336,2025-02-03 21:30,2577.58,2025-02-03 22:15,2534.53,3,-100.20,-1.0020,-3.4260,止损
34,做多,0.577,2025-02-04 11:30,2806.15,2025-02-04 12:00,2828.60,2,48.00,0.4800,-2.9460,止盈
35,做多,0.592,2025-02-04 13:45,2691.07,2025-02-04 14:00,2712.60,1,48.00,0.4800,-2.4660,止盈
36,做多,0.557,2025-02-04 16:45,2698.31,2025-02-04 18:00,2719.90,5,48.00,0.4800,-1.9860,止盈
37,做多,0.568,2025-02-05 06:00,2651.23,2025-02-05 06:15,2672.44,1,48.00,0.4800,-1.5060,止盈
38,做多,0.605,2025-02-06 01:30,2744.91,2025-02-06 03:30,2766.87,8,48.00,0.4800,-1.0260,止盈
39,做空,0.542,2025-02-06 03:00,2736.39,2025-02-06 03:45,2782.09,3,-100.20,-1.0020,-2.0280,止损
40,做多,0.649,2025-02-06 04:45,2763.01,2025-02-06 05:30,2785.11,3,48.00,0.4800,-1.5480,止盈
41,做空,0.596,2025-02-06 05:30,2781.99,2025-02-06 06:15,2759.73,3,48.00,0.4800,-1.0680,止盈
42,做空,0.674,2025-02-06 17:15,2835.51,2025-02-06 19:15,2812.83,8,48.00,0.4800,-0.5880,止盈
43,做空,0.617,2025-02-07 21:45,2776.01,2025-02-07 23:00,2753.80,5,48.00,0.4800,-0.1080,止盈
44,做多,0.572,2025-02-08 05:15,2594.34,2025-02-08 07:30,2615.09,9,48.00,0.4800,0.3720,止盈
45,做空,0.553,2025-02-10 06:45,2615.77,2025-02-10 09:30,2594.84,11,48.00,0.4800,0.8520,止盈
46,做多,0.543,2025-02-11 22:00,2650.25,2025-02-11 23:00,2671.45,4,48.00,0.4800,1.3320,止盈
47,做空,0.577,2025-02-12 23:30,2607.49,2025-02-13 00:15,2586.63,3,48.00,0.4800,1.8120,止盈
48,做空,0.501,2025-02-15 02:00,2784.31,2025-02-15 02:30,2762.04,2,48.00,0.4800,2.2920,止盈
49,做多,0.554,2025-02-15 06:45,2718.00,2025-02-15 22:30,2672.61,63,-100.20,-1.0020,1.2900,止损
50,做空,0.580,2025-02-17 23:00,2816.22,2025-02-17 23:30,2793.69,2,48.00,0.4800,1.7700,止盈
51,做多,0.501,2025-02-18 00:30,2736.65,2025-02-18 03:00,2690.95,10,-100.20,-1.0020,0.7680,止损
52,做多,0.517,2025-02-18 12:30,2705.85,2025-02-18 14:00,2660.66,6,-100.20,-1.0020,-0.2340,止损
53,做多,0.652,2025-02-21 00:00,2723.02,2025-02-21 02:00,2744.80,8,48.00,0.4800,0.2460,止盈
54,做空,0.566,2025-02-21 02:15,2741.26,2025-02-21 17:15,2787.04,60,-100.20,-1.0020,-0.7560,止损
55,做多,0.598,2025-02-22 06:30,2645.77,2025-02-22 08:15,2666.94,7,48.00,0.4800,-0.2760,止盈
56,做空,0.607,2025-02-24 07:15,2817.49,2025-02-24 09:00,2794.95,7,48.00,0.4800,0.2040,止盈
57,做空,0.531,2025-02-24 19:30,2682.41,2025-02-24 22:30,2660.95,12,48.00,0.4800,0.6840,止盈
58,做多,0.606,2025-02-25 07:30,2528.59,2025-02-25 08:00,2486.36,2,-100.20,-1.0020,-0.3180,止损
59,做多,0.649,2025-02-25 08:45,2499.10,2025-02-25 10:45,2519.09,8,48.00,0.4800,0.1620,止盈
60,做多,0.673,2025-02-25 10:00,2486.50,2025-02-25 10:30,2506.39,2,48.00,0.4800,0.6420,止盈
61,做空,0.668,2025-02-25 16:30,2412.49,2025-02-25 17:15,2393.19,3,48.00,0.4800,1.1220,止盈
62,做多,0.605,2025-02-27 03:30,2299.40,2025-02-27 04:00,2317.80,2,48.00,0.4800,1.6020,止盈
63,做空,0.559,2025-02-27 05:00,2331.19,2025-02-27 05:30,2312.54,2,48.00,0.4800,2.0820,止盈
64,做空,0.522,2025-02-27 13:15,2319.91,2025-02-27 14:30,2358.65,5,-100.20,-1.0020,1.0800,止损
65,做多,0.510,2025-02-27 23:00,2318.89,2025-02-28 00:15,2337.44,5,48.00,0.4800,1.5600,止盈
66,做空,1.188,2025-02-28 01:00,2313.13,2025-02-28 03:30,2294.62,10,48.00,0.4800,2.0400,止盈
67,做空,0.600,2025-02-28 12:45,2136.71,2025-02-28 13:00,2119.62,1,48.00,0.4800,2.5200,止盈
68,做空,0.552,2025-02-28 15:15,2114.50,2025-02-28 15:45,2097.58,2,48.00,0.4800,3.0000,止盈
69,做多,0.598,2025-03-03 01:45,2480.49,2025-03-03 02:15,2500.33,2,48.00,0.4800,3.4800,止盈
70,做空,1.357,2025-03-04 04:45,2129.16,2025-03-04 05:45,2112.13,4,48.00,0.4800,3.9600,止盈
71,做空,1.190,2025-03-04 23:30,2074.09,2025-03-05 00:00,2057.50,2,48.00,0.4800,4.4400,止盈
72,做多,0.596,2025-03-05 02:30,2135.29,2025-03-05 02:45,2152.37,1,48.00,0.4800,4.9200,止盈
73,做多,0.603,2025-03-05 07:00,2177.31,2025-03-05 14:45,2194.73,31,48.00,0.4800,5.4000,止盈
74,做多,0.525,2025-03-05 21:15,2212.59,2025-03-05 22:30,2175.64,5,-100.20,-1.0020,4.3980,止损
75,做空,1.177,2025-03-05 23:30,2189.64,2025-03-06 00:00,2172.12,2,48.00,0.4800,4.8780,止盈
76,做多,0.543,2025-03-06 00:15,2170.10,2025-03-06 00:45,2187.46,2,48.00,0.4800,5.3580,止盈
77,做空,0.519,2025-03-06 10:15,2270.30,2025-03-06 13:15,2308.21,12,-100.20,-1.0020,4.3560,止损
78,做空,0.649,2025-03-07 06:45,2211.39,2025-03-07 08:15,2193.70,6,48.00,0.4800,4.8360,止盈
79,做多,1.175,2025-03-07 21:45,2188.53,2025-03-07 22:30,2206.04,3,48.00,0.4800,5.3160,止盈
80,做多,1.338,2025-03-08 00:00,2196.20,2025-03-08 00:15,2159.52,1,-100.20,-1.0020,4.3140,止损
81,做空,0.699,2025-03-08 01:45,2162.31,2025-03-08 02:45,2198.42,4,-100.20,-1.0020,3.3120,止损
82,做多,0.637,2025-03-10 00:00,2103.49,2025-03-10 00:30,2068.36,2,-100.20,-1.0020,2.3100,止损
83,做空,0.671,2025-03-10 04:15,2043.90,2025-03-10 05:00,2027.55,3,48.00,0.4800,2.7900,止盈
84,做多,0.612,2025-03-10 07:00,2018.29,2025-03-10 08:00,2034.44,4,48.00,0.4800,3.2700,止盈
85,做多,1.397,2025-03-11 02:15,1911.83,2025-03-11 02:45,1879.90,2,-100.20,-1.0020,2.2680,止损
86,做空,0.611,2025-03-11 07:00,1885.25,2025-03-11 07:15,1870.17,1,48.00,0.4800,2.7480,止盈
87,做多,1.438,2025-03-11 22:15,1872.08,2025-03-11 22:30,1840.82,1,-100.20,-1.0020,1.7460,止损
88,做多,0.585,2025-03-12 01:30,1902.56,2025-03-12 02:00,1917.78,2,48.00,0.4800,2.2260,止盈
89,做多,0.500,2025-03-13 20:30,1900.60,2025-03-13 21:45,1868.86,5,-100.20,-1.0020,1.2240,止损
90,做多,0.548,2025-03-13 23:15,1880.59,2025-03-14 01:15,1849.18,8,-100.20,-1.0020,0.2220,止损
91,做空,0.576,2025-03-16 23:00,1891.74,2025-03-17 00:00,1923.33,4,-100.20,-1.0020,-0.7800,止损
92,做多,0.651,2025-03-17 07:00,1880.23,2025-03-17 08:30,1895.27,6,48.00,0.4800,-0.3000,止盈
93,做空,0.574,2025-03-24 22:15,2086.87,2025-03-25 00:30,2070.18,9,48.00,0.4800,0.1800,止盈
94,做多,0.527,2025-03-27 03:15,1990.04,2025-03-27 04:00,2005.96,3,48.00,0.4800,0.6600,止盈
95,做多,0.643,2025-03-29 05:00,1884.66,2025-03-29 06:45,1899.74,7,48.00,0.4800,1.1400,止盈
96,做空,0.502,2025-03-29 07:00,1897.00,2025-03-29 14:00,1881.82,28,48.00,0.4800,1.6200,止盈
97,做多,0.677,2025-03-29 19:30,1835.46,2025-03-29 20:00,1850.14,2,48.00,0.4800,2.1000,止盈
98,做空,0.557,2025-04-02 23:45,1901.21,2025-04-03 01:30,1886.00,7,48.00,0.4800,2.5800,止盈
99,做多,1.568,2025-04-03 04:15,1898.68,2025-04-03 04:30,1866.97,1,-100.20,-1.0020,1.5780,止损
100,做多,0.693,2025-04-04 22:15,1787.09,2025-04-04 23:00,1801.39,3,48.00,0.4800,2.0580,止盈
101,做空,0.570,2025-04-06 23:00,1765.27,2025-04-07 00:15,1751.15,5,48.00,0.4800,2.5380,止盈
102,做多,1.592,2025-04-07 07:15,1552.44,2025-04-07 07:30,1564.86,1,48.00,0.4800,3.0180,止盈
103,做多,0.520,2025-04-07 08:45,1572.90,2025-04-07 09:00,1585.48,1,48.00,0.4800,3.4980,止盈
104,做多,1.593,2025-04-07 12:30,1538.33,2025-04-07 12:45,1550.64,1,48.00,0.4800,3.9780,止盈
105,做多,1.318,2025-04-07 20:45,1521.03,2025-04-07 21:30,1495.63,3,-100.20,-1.0020,2.9760,止损
106,做多,0.694,2025-04-08 04:45,1570.94,2025-04-08 06:30,1583.51,7,48.00,0.4800,3.4560,止盈
107,做多,0.558,2025-04-08 23:15,1527.68,2025-04-09 00:30,1502.17,5,-100.20,-1.0020,2.4540,止损
108,做空,0.674,2025-04-09 02:30,1476.94,2025-04-09 03:00,1465.12,2,48.00,0.4800,2.9340,止盈
109,做多,0.601,2025-04-09 17:30,1479.45,2025-04-09 18:45,1491.29,5,48.00,0.4800,3.4140,止盈
110,做空,0.570,2025-04-09 21:45,1487.53,2025-04-09 22:00,1475.63,1,48.00,0.4800,3.8940,止盈
111,做多,1.108,2025-04-09 23:00,1483.08,2025-04-09 23:45,1494.94,3,48.00,0.4800,4.3740,止盈
112,做空,0.572,2025-04-09 23:45,1485.26,2025-04-10 01:00,1510.06,5,-100.20,-1.0020,3.3720,止损
113,做多,1.127,2025-04-10 03:00,1640.15,2025-04-10 04:15,1653.27,5,48.00,0.4800,3.8520,止盈
114,做空,0.551,2025-04-12 00:45,1565.78,2025-04-12 09:45,1553.25,36,48.00,0.4800,4.3320,止盈
