杠杆,止盈%,止损%,K1涨跌幅%,50根后止盈比例,50根后止损比例,总交易数,盈利次数,亏损次数,胜率%,平均盈利%,平均亏损%,平均持仓K线数,盈亏比,总盈亏USDT,最终资金USDT,总收益率%
100,200,500,0.21,0.9,0.3,1535,877,658,57.13,1.95,-2.15,48.3,1.21,292.0000,1827.0000,19.02
100,200,500,0.21,1.0,0.3,1535,862,673,56.16,2.00,-2.13,49.5,1.20,287.5000,1822.5000,18.73
100,200,500,0.21,0.6,0.3,1536,927,609,60.35,1.75,-2.20,44.4,1.21,281.5000,1817.5000,18.33
100,200,500,0.21,0.7,0.3,1536,905,631,58.92,1.82,-2.18,45.9,1.20,275.7000,1811.7000,17.95
100,200,500,0.21,0.8,0.3,1536,884,652,57.55,1.89,-2.15,47.2,1.19,264.2000,1800.2000,17.20
100,200,500,0.21,0.5,0.3,1536,943,593,61.39,1.68,-2.22,43.4,1.20,263.5000,1799.5000,17.15
100,200,500,0.21,0.4,0.3,1536,957,579,62.30,1.60,-2.24,42.3,1.18,234.5000,1770.5000,15.27
100,200,500,0.21,0.3,0.3,1536,985,551,64.13,1.51,-2.27,41.2,1.18,229.3000,1765.3000,14.93
100,200,500,0.21,1.0,0.4,1535,905,630,58.96,2.00,-2.58,54.0,1.11,184.0000,1719.0000,11.99
100,200,500,0.21,0.9,0.4,1535,919,616,59.87,1.94,-2.59,52.7,1.11,183.6000,1718.6000,11.96
100,200,500,0.21,0.6,0.4,1536,967,569,62.96,1.73,-2.64,47.6,1.11,166.0000,1702.0000,10.81
100,200,500,0.21,0.7,0.4,1536,947,589,61.65,1.80,-2.62,49.5,1.11,164.0000,1700.0000,10.68
100,200,500,0.21,0.8,0.4,1536,928,608,60.42,1.87,-2.60,51.4,1.10,157.6000,1693.6000,10.26
100,200,500,0.21,0.5,0.4,1536,981,555,63.87,1.65,-2.66,46.0,1.10,142.0000,1678.0000,9.24
100,200,500,0.21,0.3,0.4,1536,1023,513,66.60,1.47,-2.71,43.2,1.08,113.6000,1649.6000,7.40
100,200,500,0.21,0.4,0.4,1536,995,541,64.78,1.57,-2.68,44.8,1.08,112.4000,1648.4000,7.32
100,200,500,0.21,1.0,0.5,1535,943,592,61.43,2.00,-3.02,60.2,1.06,101.0000,1636.0000,6.58
100,200,500,0.21,0.9,0.5,1535,957,578,62.35,1.93,-3.03,58.3,1.06,100.0000,1635.0000,6.51
100,200,500,0.21,0.6,0.5,1536,1002,534,65.23,1.71,-3.07,52.0,1.04,72.0000,1608.0000,4.69
100,200,500,0.21,0.9,0.6,1535,998,537,65.02,1.93,-3.45,63.2,1.04,68.8000,1603.8000,4.48
100,200,500,0.21,0.7,0.5,1536,981,555,63.87,1.79,-3.05,54.3,1.04,63.1000,1599.1000,4.11
100,200,500,0.21,1.0,0.6,1535,981,554,63.91,2.00,-3.44,65.7,1.03,56.0000,1591.0000,3.65
100,200,500,0.21,0.8,0.5,1536,962,574,62.63,1.86,-3.03,56.7,1.03,54.0000,1590.0000,3.52
100,200,500,0.21,0.9,1.0,1533,1116,417,72.80,1.91,-5.00,89.4,1.02,51.2000,1584.2000,3.34
100,200,500,0.21,0.5,0.5,1536,1016,520,66.15,1.63,-3.09,50.2,1.03,48.0000,1584.0000,3.12
100,200,500,0.21,1.0,1.0,1533,1101,432,71.82,2.00,-5.00,93.7,1.02,42.0000,1575.0000,2.74
100,200,500,0.21,0.8,0.6,1536,1005,531,65.43,1.85,-3.46,61.4,1.01,25.8000,1561.8000,1.68
100,200,500,0.21,0.6,0.6,1536,1040,496,67.71,1.69,-3.49,55.8,1.01,25.6000,1561.6000,1.67
100,200,500,0.21,0.7,0.6,1536,1020,516,66.41,1.77,-3.47,58.4,1.01,18.2000,1554.2000,1.18
100,200,500,0.21,0.4,0.5,1536,1029,507,66.99,1.54,-3.10,48.4,1.01,15.1000,1551.1000,0.98
100,200,500,0.21,0.3,0.5,1536,1054,482,68.62,1.45,-3.13,46.1,1.01,14.2000,1550.2000,0.92
100,200,500,0.21,0.9,0.8,1535,1060,475,69.06,1.92,-4.26,75.9,1.01,13.4000,1548.4000,0.87
100,200,500,0.21,0.9,0.9,1534,1087,447,70.86,1.92,-4.64,82.6,1.01,11.5000,1545.5000,0.75
100,200,500,0.21,0.8,1.0,1534,1125,409,73.34,1.83,-5.00,86.1,1.00,9.8000,1543.8000,0.64
100,200,500,0.21,0.9,0.7,1535,1026,509,66.84,1.92,-3.86,68.9,1.00,9.7000,1544.7000,0.63
100,200,500,0.21,0.6,1.0,1534,1156,378,75.36,1.64,-5.00,76.4,1.00,6.8000,1540.8000,0.44
100,200,500,0.21,0.5,0.6,1536,1055,481,68.68,1.60,-3.51,53.7,1.00,5.0000,1541.0000,0.33
100,200,500,0.21,1.0,0.9,1534,1072,462,69.88,2.00,-4.63,86.7,1.00,4.0000,1538.0000,0.26
100,200,500,0.21,1.0,0.8,1535,1044,491,68.01,2.00,-4.25,79.9,1.00,2.0000,1537.0000,0.13
100,200,500,0.21,0.7,1.0,1534,1139,395,74.25,1.74,-5.00,81.1,1.00,1.8000,1535.8000,0.12
100,200,500,0.21,1.0,0.7,1535,1010,525,65.80,2.00,-3.85,72.1,1.00,-0.5000,1534.5000,-0.03
100,200,500,0.21,0.4,0.6,1536,1073,463,69.86,1.51,-3.53,51.7,0.99,-10.2000,1525.8000,-0.66
100,200,500,0.21,0.3,0.6,1536,1096,440,71.35,1.41,-3.55,49.1,0.99,-14.6000,1521.4000,-0.95
100,200,500,0.21,0.5,1.0,1534,1168,366,76.14,1.55,-5.00,71.8,0.99,-25.0000,1509.0000,-1.63
100,200,500,0.21,0.6,0.7,1536,1068,468,69.53,1.68,-3.89,60.7,0.98,-29.8000,1506.2000,-1.94
100,200,500,0.21,0.4,1.0,1534,1185,349,77.25,1.45,-5.00,67.9,0.98,-32.6000,1501.4000,-2.13
100,200,500,0.21,0.8,0.7,1536,1033,503,67.25,1.85,-3.86,66.9,0.98,-35.9000,1500.1000,-2.34
100,200,500,0.21,0.8,0.8,1536,1067,469,69.47,1.84,-4.26,73.2,0.98,-36.0000,1500.0000,-2.34
100,200,500,0.21,0.6,0.8,1536,1100,436,71.61,1.66,-4.28,66.0,0.98,-36.4000,1499.6000,-2.37
100,200,500,0.21,0.8,0.9,1535,1094,441,71.27,1.83,-4.64,79.5,0.98,-40.3000,1494.7000,-2.63
100,200,500,0.21,0.7,0.8,1536,1082,454,70.44,1.75,-4.27,69.5,0.98,-41.0000,1495.0000,-2.67
100,200,500,0.21,0.7,0.7,1536,1048,488,68.23,1.76,-3.88,63.7,0.98,-41.6000,1494.4000,-2.71
100,200,500,0.21,0.6,0.9,1535,1125,410,73.29,1.65,-4.65,70.7,0.98,-46.4000,1488.6000,-3.02
100,200,500,0.21,0.3,1.0,1534,1202,332,78.36,1.34,-5.00,63.5,0.97,-47.0000,1487.0000,-3.06
100,200,500,0.21,0.5,0.7,1536,1083,453,70.51,1.59,-3.90,57.8,0.97,-48.5000,1487.5000,-3.16
100,200,500,0.21,0.7,0.9,1535,1108,427,72.18,1.74,-4.64,74.9,0.98,-49.1000,1485.9000,-3.20
100,200,500,0.21,0.5,0.8,1536,1115,421,72.59,1.57,-4.29,62.6,0.97,-54.0000,1482.0000,-3.52
100,200,500,0.21,0.5,0.9,1535,1140,395,74.27,1.56,-4.65,66.7,0.97,-61.5000,1473.5000,-4.01
100,200,500,0.21,0.3,0.7,1536,1123,413,73.11,1.39,-3.94,52.1,0.96,-62.9000,1473.1000,-4.10
100,200,500,0.21,0.4,0.7,1536,1100,436,71.61,1.49,-3.92,55.2,0.96,-64.6000,1471.4000,-4.21
100,200,500,0.21,0.4,0.8,1536,1132,404,73.70,1.48,-4.30,59.2,0.96,-68.0000,1468.0000,-4.43
100,200,500,0.21,0.3,0.8,1536,1153,383,75.07,1.37,-4.32,55.6,0.96,-70.4000,1465.6000,-4.58
100,200,500,0.21,0.4,0.9,1535,1157,378,75.37,1.46,-4.66,63.3,0.96,-72.0000,1463.0000,-4.69
100,200,500,0.21,0.3,0.9,1535,1175,360,76.55,1.36,-4.67,59.2,0.95,-84.2000,1450.8000,-5.49
